trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences,isc,isc_p,osd,ri,pd
S2_V1_none_claude-sonnet_rep3,S2,V1,1,none,claude-sonnet,3,0.4503,0.0,-0.4949,0.026523,0.9231,20,20,19,0.5657,0.0,0.5117,0.8842,0.0
S2_V1_none_claude-sonnet_rep4,S2,V1,1,none,claude-sonnet,4,0.5117,0.0,-0.4558,0.043436,1.0,20,20,20,0.4534,0.0,0.5254,0.9579,0.0
S2_V1_none_gpt-4o_rep0,S2,V1,1,none,gpt-4o,0,0.4184,0.0,-0.4027,0.078318,1.0,20,20,14,0.4778,0.0,0.543,0.9474,0.0
S2_V1_none_gpt-4o_rep1,S2,V1,1,none,gpt-4o,1,0.3577,0.0,-0.4435,0.050142,0.9615,20,20,17,0.5373,0.0,0.5425,0.8316,0.0
S2_V1_none_gpt-4o_rep2,S2,V1,1,none,gpt-4o,2,0.3831,0.0,-0.4734,0.034985,0.9231,20,20,16,0.5064,0.0,0.544,1.0,0.0
S2_V1_none_gpt-4o_rep3,S2,V1,1,none,gpt-4o,3,0.3848,0.0,-0.4471,0.048079,0.9615,20,20,18,0.498,0.0,0.5483,0.8316,0.0
S2_V1_none_gpt-4o_rep4,S2,V1,1,none,gpt-4o,4,0.3522,1e-06,-0.4698,0.036598,1.0,20,20,17,0.5014,0.0,0.5633,0.8632,0.0
S2_V2_causal_claude-sonnet_rep0,S2,V2,2,causal,claude-sonnet,0,0.5103,0.0,-0.4309,0.057839,1.0,20,20,16,0.8103,0.0,0.5417,0.9579,0.4682
S2_V2_causal_claude-sonnet_rep1,S2,V2,2,causal,claude-sonnet,1,0.4578,0.0,-0.4152,0.068665,1.0,20,20,18,0.719,0.0,0.5218,0.8947,0.4788
S2_V2_causal_claude-sonnet_rep2,S2,V2,2,causal,claude-sonnet,2,0.2001,0.005628,-0.3196,0.169549,1.0,20,20,9,1.0,0.0,0.4622,0.7368,0.4391
S2_V2_causal_claude-sonnet_rep3,S2,V2,2,causal,claude-sonnet,3,0.3493,1e-06,-0.5153,0.020047,1.0,20,20,10,0.7265,0.0,0.539,0.8842,0.4926
S2_V2_causal_claude-sonnet_rep4,S2,V2,2,causal,claude-sonnet,4,0.5032,0.0,-0.4737,0.034875,1.0,20,20,18,0.8209,0.0,0.5077,0.8632,0.4905
S2_V2_causal_gpt-4o_rep0,S2,V2,2,causal,gpt-4o,0,0.4448,0.0,-0.4964,0.026001,0.9615,20,20,34,0.6691,0.0,0.5773,0.8105,0.4372
S2_V2_causal_gpt-4o_rep1,S2,V2,2,causal,gpt-4o,1,0.4337,0.0,-0.4555,0.043561,1.0,20,20,55,0.5705,0.0,0.5941,0.8737,0.4282
